case,Kp,Ko,Kn,lambda,final_position_error_mm,final_orientation_error_rad,settling_time_s,max_joint_speed_rad_s,max_abs_joint_rad,null_distance_final_rad
baseline_K5,5,4,0.15,0.001,0.000158187647696146,1.45472277605922e-08,1.1,6.8380425277028,1.05255923448388,1.47049627945767
low_gain_K15,1.5,1.2,0.15,0.001,0.0306409612604079,0.00039843014458232,3.676,2.05147660113205,1.05247863495367,1.47042540753804
high_gain_K12,12,10,0.15,0.001,6.59049833152947e-05,5.78655119266934e-09,0.454,16.2855286841261,1.05179144320305,1.47048591132739
different_q0,5,4,0.15,0.001,0.000157494832500882,1.47078236725046e-08,1.356,17.5488484033126,1.45683476016952,1.47042587561033
nullspace_off,5,4,0,0.001,2.00827569498848e-11,1.84140498200988e-11,1.1,6.83802464279342,1.05255978269403,1.47467857418091
